icao24,wake_vortex,wake_vortex_index
8a0a00,"<136,000kg",3.0
3965aa,Heavy,0.0
344698,"<136,000kg",3.0
3c48a9,"<136,000kg",3.0
3991e3,"<136,000kg",3.0
3451d3,"<136,000kg",3.0
490d0b,"<34,000kg",4.0
3c061d,"<34,000kg",4.0
4caeb3,Heavy,0.0
3cd051,<7000kg,7.0
3c542a,Heavy,0.0
461f63,"<136,000kg",3.0
4acaa3,"<136,000kg",3.0
4d227a,"<136,000kg",3.0
440d39,<7000kg,7.0
be0634,Space,14.0
4403bb,"<136,000kg",3.0
0200af,"<136,000kg",3.0
40784f,<7000kg,7.0
440c83,"<136,000kg",3.0
4ca97c,"<136,000kg",3.0
45d961,"<136,000kg",3.0
495168,Heavy,0.0
485ecd,Heavy,0.0
4d2349,"<136,000kg",3.0
348055,Rotorcraft,6.0
34508c,Rotorcraft,6.0
3c49ea,"<136,000kg",3.0
ab9387,Heavy,0.0
3ce3d7,"<34,000kg",4.0
a8091e,"<34,000kg",4.0
44d1b3,"<136,000kg",3.0
0d085c,Heavy,0.0
a6598c,<7000kg,7.0
45d06e,"<136,000kg",3.0
40717e,"<136,000kg",3.0
502d0c,"<136,000kg",3.0
505ceb,"<136,000kg",3.0
4d2280,"<136,000kg",3.0
896168,Heavy,0.0
48c134,"<136,000kg",3.0
4070e4,"<136,000kg",3.0
4b18ff,Heavy,0.0
4d24f8,<7000kg,7.0
4aca0a,"<136,000kg",3.0
3964f7,"<136,000kg",3.0
44cc44,"<136,000kg",3.0
40803e,"<136,000kg",3.0
4a91b3,"<136,000kg",3.0
39cf06,Heavy,0.0
a093bd,"<136,000kg",3.0
3c55c5,"<136,000kg",3.0
4cae55,"<136,000kg",3.0
3c542e,Heavy,0.0
4d2301,"<136,000kg",3.0
39ae37,"<34,000kg",4.0
346182,"<34,000kg",4.0
4cafd2,"<136,000kg",3.0
4864eb,"<136,000kg",3.0
4d2501,"<136,000kg",3.0
4bb153,Heavy,0.0
49131a,"<34,000kg",4.0
345595,"<136,000kg",3.0
4854c7,"<136,000kg",3.0
347614,"<136,000kg",3.0
4caa5f,"<136,000kg",3.0
3c56ed,"<136,000kg",3.0
345189,Obstruction,1.0
342582,"<136,000kg",3.0
4ca80c,"<136,000kg",3.0
39a123,<7000kg,7.0
424c62,"<136,000kg",3.0
40622f,"<136,000kg",3.0
739572,<7000kg,7.0
356341,Heavy,0.0
405635,"<136,000kg",3.0
406fda,"<136,000kg",3.0
3c79b8,"<136,000kg",3.0
a67f2f,"<136,000kg",3.0
4d24ea,"<136,000kg",3.0
3965af,Heavy,0.0
458c68,"<34,000kg",4.0
406b80,"<136,000kg",3.0
40768c,"<136,000kg",3.0
4ca910,"<136,000kg",3.0
4d20d9,"<34,000kg",4.0
407dfc,"<136,000kg",3.0
06a1d9,"<136,000kg",3.0
407534,"<136,000kg",3.0
49118d,"<34,000kg",4.0
48c225,"<136,000kg",3.0
4d2279,"<136,000kg",3.0
0a0092,"<136,000kg",3.0
44ccc4,Heavy,0.0
407f38,"<136,000kg",3.0
4d24cc,"<136,000kg",3.0
4400b7,"<136,000kg",3.0
4ca853,"<136,000kg",3.0
47a32e,"<136,000kg",3.0
4cac7b,"<136,000kg",3.0
344156,"<136,000kg",3.0
3965b0,Heavy,0.0
3444cf,"<136,000kg",3.0
04019a,Heavy,0.0
3e272b,<7000kg,7.0
471f04,"<136,000kg",3.0
4b1818,"<136,000kg",3.0
4d2248,"<136,000kg",3.0
4b17de,"<136,000kg",3.0
343653,Obstruction,1.0
3c48f1,"<136,000kg",3.0
4ca621,"<136,000kg",3.0
44cdcd,"<136,000kg",3.0
4acb58,"<136,000kg",3.0
4ac9ec,"<136,000kg",3.0
34108f,Obstruction,1.0
4d222b,"<136,000kg",3.0
4cad95,"<136,000kg",3.0
406b5c,"<136,000kg",3.0
4892c5,"<136,000kg",3.0
440465,"<34,000kg",4.0
39d30a,"<136,000kg",3.0
3964e4,"<136,000kg",3.0
4402f1,"<136,000kg",3.0
343409,Obstruction,1.0
3ce5d5,"<34,000kg",4.0
47a7a8,"<136,000kg",3.0
347257,"<136,000kg",3.0
471f32,"<136,000kg",3.0
4d252a,"<136,000kg",3.0
4b1a28,"<136,000kg",3.0
4ca805,"<136,000kg",3.0
495306,"<136,000kg",3.0
45ab53,"<136,000kg",3.0
495037,"<136,000kg",3.0
4d2289,"<136,000kg",3.0
4d22b4,"<136,000kg",3.0
4acaa6,"<136,000kg",3.0
39de48,"<136,000kg",3.0
3944f3,,2.0
39ceac,"<136,000kg",3.0
4cae63,"<136,000kg",3.0
4cadc3,"<136,000kg",3.0
a6d8e7,Heavy,0.0
4ca61e,"<136,000kg",3.0
405637,"<136,000kg",3.0
4cc528,"<136,000kg",3.0
345384,Rotorcraft,6.0
4d225b,"<136,000kg",3.0
3c5ee7,"<136,000kg",3.0
4d2216,"<136,000kg",3.0
4aca13,"<136,000kg",3.0
040060,Heavy,0.0
4d2533,"<136,000kg",3.0
471f4a,"<136,000kg",3.0
3430cd,"<136,000kg",3.0
440018,"<136,000kg",3.0
48414e,,2.0
4ac8e3,"<136,000kg",3.0
3c5ee3,"<136,000kg",3.0
4d24eb,"<136,000kg",3.0
4ca61d,"<136,000kg",3.0
4d242d,"<136,000kg",3.0
4ca2bf,"<136,000kg",3.0
4ca92d,"<136,000kg",3.0
4ca245,"<136,000kg",3.0
44ce76,"<136,000kg",3.0
394c0c,"<136,000kg",3.0
3c6485,"<136,000kg",3.0
020095,"<136,000kg",3.0
4d227f,"<136,000kg",3.0
3c5429,Heavy,0.0
407cb3,"<136,000kg",3.0
343545,,2.0
4d250b,"<136,000kg",3.0
3c6668,"<136,000kg",3.0
4d2304,"<136,000kg",3.0
4d2211,"<136,000kg",3.0
407567,"<136,000kg",3.0
a8bf91,Heavy,0.0
344195,"<136,000kg",3.0
345249,"<136,000kg",3.0
3c49c9,"<136,000kg",3.0
4aca15,"<136,000kg",3.0
4cada6,"<136,000kg",3.0
4864ea,"<136,000kg",3.0
4d2020,"<136,000kg",3.0
4ca8af,High vortex,8.0
4ca808,"<136,000kg",3.0
3c6498,"<136,000kg",3.0
341241,Obstruction,1.0
0d0a9a,Heavy,0.0
4ac8f6,"<136,000kg",3.0
462854,Surface service vehicle,15.0
4cac86,"<136,000kg",3.0
39de43,"<136,000kg",3.0
06a07f,Heavy,0.0
4cad92,"<136,000kg",3.0
3c55c7,"<136,000kg",3.0
4b027f,"<136,000kg",3.0
407faf,"<136,000kg",3.0
40772e,"<136,000kg",3.0
781eb7,Heavy,0.0
4cac1e,"<136,000kg",3.0
40666b,"<136,000kg",3.0
47873f,"<136,000kg",3.0
4bcced,Heavy,0.0
4caf7e,"<136,000kg",3.0
406c72,"<136,000kg",3.0
48c230,"<136,000kg",3.0
34714e,"<136,000kg",3.0
345617,"<136,000kg",3.0
8964f9,Heavy,0.0
346155,"<136,000kg",3.0
4a1922,"<136,000kg",3.0
06a2f0,Heavy,0.0
49d418,"<136,000kg",3.0
71c082,Heavy,0.0
3481c4,"<136,000kg",3.0
4cadd9,"<136,000kg",3.0
44cdce,"<136,000kg",3.0
4ca75f,"<136,000kg",3.0
346644,"<136,000kg",3.0
346691,"<136,000kg",3.0
3c49ec,"<136,000kg",3.0
0a0079,"<136,000kg",3.0
44061c,"<136,000kg",3.0
4ca911,"<136,000kg",3.0
49d327,"<136,000kg",3.0
44cdd1,"<136,000kg",3.0
4400c8,"<136,000kg",3.0
4cadf7,"<136,000kg",3.0
40643b,"<136,000kg",3.0
4cade6,"<136,000kg",3.0
896214,Heavy,0.0
4b027d,"<136,000kg",3.0
49514d,"<136,000kg",3.0
342592,"<136,000kg",3.0
4d2233,"<136,000kg",3.0
346614,"<136,000kg",3.0
3c4b2c,Heavy,0.0
4cae97,"<136,000kg",3.0
4cafb4,"<136,000kg",3.0
4b1916,Heavy,0.0
3c5430,Heavy,0.0
4cac8a,"<136,000kg",3.0
0101de,Heavy,0.0
342398,"<136,000kg",3.0
e8044f,Heavy,0.0
4ac8e4,"<136,000kg",3.0
aac33e,Heavy,0.0
3461cf,"<136,000kg",3.0
4d241f,"<136,000kg",3.0
4ca27b,"<136,000kg",3.0
89620b,Heavy,0.0
39ceb8,"<136,000kg",3.0
406e69,"<136,000kg",3.0
344409,"<136,000kg",3.0
e18c10,Reserved,10.0
4ca4f0,,2.0
407267,"<136,000kg",3.0
4cae64,"<136,000kg",3.0
44d1c3,"<136,000kg",3.0
4d21fc,"<136,000kg",3.0
3c5ef0,"<136,000kg",3.0
e072d0,Heavy,0.0
394a03,Heavy,0.0
aa4903,Heavy,0.0
34810b,"<136,000kg",3.0
4d23c3,"<136,000kg",3.0
39644a,Heavy,0.0
4cade9,"<136,000kg",3.0
4cadfa,Heavy,0.0
aad981,Heavy,0.0
40805d,"<136,000kg",3.0
484134,,2.0
4b0292,"<136,000kg",3.0
440065,"<136,000kg",3.0
3c56e6,"<136,000kg",3.0
3c49cb,"<136,000kg",3.0
39d318,"<136,000kg",3.0
4ca769,"<136,000kg",3.0
44083b,"<136,000kg",3.0
4d2023,"<136,000kg",3.0
345205,"<136,000kg",3.0
3c5efa,"<136,000kg",3.0
4d2535,"<136,000kg",3.0
a92dfc,Heavy,0.0
4cae57,"<136,000kg",3.0
348049,"<136,000kg",3.0
392aed,"<136,000kg",3.0
4cad54,"<136,000kg",3.0
abfdd1,Heavy,0.0
48c2ab,"<136,000kg",3.0
3c56f2,"<136,000kg",3.0
4d24b5,"<136,000kg",3.0
485209,"<136,000kg",3.0
471f65,"<136,000kg",3.0
3964e9,"<136,000kg",3.0
4bb1e4,Heavy,0.0
4d253b,"<136,000kg",3.0
4d221d,"<136,000kg",3.0
3e1f4e,<7000kg,7.0
48520b,"<136,000kg",3.0
3964f1,"<136,000kg",3.0
4866de,"<136,000kg",3.0
ac0cab,Heavy,0.0
4ca761,"<136,000kg",3.0
4b1a65,"<136,000kg",3.0
0200ca,Heavy,0.0
495308,"<136,000kg",3.0
4ca643,"<136,000kg",3.0
407f96,"<136,000kg",3.0
4cc4bd,Heavy,0.0
3c49eb,"<136,000kg",3.0
407642,"<136,000kg",3.0
440179,"<136,000kg",3.0
406fd8,"<136,000kg",3.0
4b1920,Heavy,0.0
4ba9e4,Heavy,0.0
3455d5,Heavy,0.0
406d92,"<136,000kg",3.0
484aa1,"<136,000kg",3.0
40717a,"<136,000kg",3.0
48418d,"<136,000kg",3.0
48c220,"<136,000kg",3.0
3965a1,Heavy,0.0
4d242b,"<136,000kg",3.0
e0b305,"<136,000kg",3.0
4cae90,"<136,000kg",3.0
4d234d,"<136,000kg",3.0
39cea6,"<136,000kg",3.0
493283,"<34,000kg",4.0
4076b1,"<136,000kg",3.0
394ca1,<7000kg,7.0
484370,Heavy,0.0
4ac9ef,"<136,000kg",3.0
406a02,"<136,000kg",3.0
47947c,"<136,000kg",3.0
407913,"<136,000kg",3.0
4d02a1,"<34,000kg",4.0
3c648f,"<136,000kg",3.0
4cac1f,"<136,000kg",3.0
406ac4,"<136,000kg",3.0
48c12c,"<136,000kg",3.0
4ac9e9,"<136,000kg",3.0
3cce03,"<34,000kg",4.0
06a0b4,Heavy,0.0
440c34,"<136,000kg",3.0
342397,"<136,000kg",3.0
461fa8,"<136,000kg",3.0
4d239b,"<136,000kg",3.0
407177,"<136,000kg",3.0
3c6495,"<136,000kg",3.0
4d227e,"<136,000kg",3.0
495303,"<136,000kg",3.0
4d2288,"<136,000kg",3.0
3964ee,"<136,000kg",3.0
406445,"<136,000kg",3.0
4864ff,<7000kg,7.0
4072c8,"<136,000kg",3.0
502ce5,"<136,000kg",3.0
06a2de,Heavy,0.0
3c5eee,"<136,000kg",3.0
4b3908,"<34,000kg",4.0
407464,"<136,000kg",3.0
511172,,2.0
4d2124,"<136,000kg",3.0
4ca9d2,"<136,000kg",3.0
4d210f,"<34,000kg",4.0
48c126,"<136,000kg",3.0
44ce6f,"<136,000kg",3.0
040140,Heavy,0.0
48c1a7,"<136,000kg",3.0
40768b,"<136,000kg",3.0
4ca294,"<136,000kg",3.0
4ac9ed,"<136,000kg",3.0
440614,"<136,000kg",3.0
4ca24f,"<136,000kg",3.0
3cc005,"<34,000kg",4.0
45d064,"<136,000kg",3.0
4d2242,"<136,000kg",3.0
4cc561,"<136,000kg",3.0
4cade0,"<136,000kg",3.0
400dae,"<136,000kg",3.0
48c12b,"<136,000kg",3.0
4ca61b,"<136,000kg",3.0
4d23fa,"<136,000kg",3.0
4d2250,"<136,000kg",3.0
405f13,"<136,000kg",3.0
471f83,"<136,000kg",3.0
4d227b,"<136,000kg",3.0
4b1801,"<136,000kg",3.0
4079f7,"<136,000kg",3.0
043ec8,"<34,000kg",4.0
501c22,"<136,000kg",3.0
405b65,"<136,000kg",3.0
4b194c,"<136,000kg",3.0
4d24d4,"<136,000kg",3.0
3c08c9,"<34,000kg",4.0
471faa,"<136,000kg",3.0
4ca281,"<136,000kg",3.0
4b1a2a,"<136,000kg",3.0
44ce72,"<136,000kg",3.0
4cadf9,"<136,000kg",3.0
4bb84b,"<136,000kg",3.0
49d283,"<136,000kg",3.0
40643c,"<136,000kg",3.0
e48ba7,Heavy,0.0
4b161e,"<136,000kg",3.0
0d0ec7,"<136,000kg",3.0
a4ad69,"<136,000kg",3.0
3c54a5,"<136,000kg",3.0
4ca849,"<136,000kg",3.0
4d20eb,"<34,000kg",4.0
3986e5,"<136,000kg",3.0
4b1698,"<136,000kg",3.0
4ca625,"<136,000kg",3.0
3c666f,"<136,000kg",3.0
010246,"<136,000kg",3.0
34760a,Heavy,0.0
3946e5,,2.0
490d82,"<34,000kg",4.0
4b18b9,"<136,000kg",3.0
490d08,"<34,000kg",4.0
440630,"<136,000kg",3.0
896189,Heavy,0.0
3c49ee,"<136,000kg",3.0
3c65ca,"<136,000kg",3.0
345259,Rotorcraft,6.0
4bb209,"<136,000kg",3.0
3cc158,"<34,000kg",4.0
06a2e2,Heavy,0.0
4bb208,"<136,000kg",3.0
4ca701,"<136,000kg",3.0
4cadba,"<136,000kg",3.0
4520d4,<7000kg,7.0
49d5d7,"<34,000kg",4.0
440cdb,"<34,000kg",4.0
4b1a29,"<136,000kg",3.0
346492,<7000kg,7.0
502d7a,"<136,000kg",3.0
3cd003,"<34,000kg",4.0
347499,<7000kg,7.0
4ca9c1,"<136,000kg",3.0
3461ce,"<136,000kg",3.0
407f65,"<136,000kg",3.0
407d74,"<136,000kg",3.0
4ca56b,"<136,000kg",3.0
4ca9e7,Heavy,0.0
00adf4,Obstruction,1.0
06a138,Heavy,0.0
494101,"<34,000kg",4.0
407e71,"<136,000kg",3.0
4ba934,Heavy,0.0
896211,Heavy,0.0
710411,Heavy,0.0
440549,"<136,000kg",3.0
48af10,"<136,000kg",3.0
45bd84,"<34,000kg",4.0
3c5ef9,"<136,000kg",3.0
3c0caa,"<136,000kg",3.0
4bb196,Heavy,0.0
3c56ee,"<136,000kg",3.0
e80215,Heavy,0.0
44093e,"<136,000kg",3.0
3c70c4,Heavy,0.0
3c65cf,"<136,000kg",3.0
492908,"<136,000kg",3.0
896171,Heavy,0.0
502d95,"<136,000kg",3.0
4d2485,"<34,000kg",4.0
4d02a5,<7000kg,7.0
4d2526,"<34,000kg",4.0
503e4a,<7000kg,7.0
4ca4f5,"<136,000kg",3.0
440666,"<136,000kg",3.0
342356,Obstruction,1.0
3c6483,"<136,000kg",3.0
4ca857,"<136,000kg",3.0
02009f,Heavy,0.0
345614,"<136,000kg",3.0
4d2427,"<136,000kg",3.0
4d2534,"<136,000kg",3.0
406668,"<136,000kg",3.0
4cac53,"<136,000kg",3.0
71ba08,Heavy,0.0
738061,"<136,000kg",3.0
407797,"<136,000kg",3.0
346692,"<136,000kg",3.0
4caffb,Heavy,0.0
345644,"<136,000kg",3.0
e49b0a,"<136,000kg",3.0
4ca645,"<136,000kg",3.0
45aa50,"<136,000kg",3.0
49d09e,"<136,000kg",3.0
06a2f5,Heavy,0.0
39d30d,"<136,000kg",3.0
4ca763,"<136,000kg",3.0
40768d,"<136,000kg",3.0
4d2208,"<136,000kg",3.0
4b1a1d,"<136,000kg",3.0
502d43,"<136,000kg",3.0
4d226a,"<136,000kg",3.0
4b1a2c,"<136,000kg",3.0
4ca6a9,"<136,000kg",3.0
3c56f0,"<136,000kg",3.0
347258,"<136,000kg",3.0
4ca302,"<136,000kg",3.0
5083a2,"<34,000kg",4.0
e94c89,Heavy,0.0
896314,Heavy,0.0
48d635,"<34,000kg",4.0
506f24,"<34,000kg",4.0
3410d7,Obstruction,1.0
461f9d,"<136,000kg",3.0
502d24,"<136,000kg",3.0
3c4a01,Heavy,0.0
3c4b2d,Heavy,0.0
3c4b2f,Heavy,0.0
4b1917,Heavy,0.0
789234,Heavy,0.0
4cad87,"<136,000kg",3.0
3c4b24,Heavy,0.0
495065,Heavy,0.0
48b116,"<34,000kg",4.0
3c648c,"<136,000kg",3.0
4ca7b9,"<136,000kg",3.0
3cea42,"<34,000kg",4.0
45d96f,Heavy,0.0
4d0285,"<34,000kg",4.0
3c66b3,"<136,000kg",3.0
4caa57,"<136,000kg",3.0
3cd568,"<34,000kg",4.0
493292,"<34,000kg",4.0
39bdaa,"<136,000kg",3.0
780fda,Heavy,0.0
3cd3c6,"<34,000kg",4.0
4bb86c,"<136,000kg",3.0
406444,"<136,000kg",3.0
aa2ca9,Heavy,0.0
3c0893,"<136,000kg",3.0
738051,"<136,000kg",3.0
484fde,"<136,000kg",3.0
3473c4,<7000kg,7.0
3c6486,"<136,000kg",3.0
aadf09,"<34,000kg",4.0
896173,Heavy,0.0
4d236b,"<136,000kg",3.0
0a008b,"<136,000kg",3.0
346350,"<136,000kg",3.0
471f6a,"<136,000kg",3.0
4a08eb,"<136,000kg",3.0
4d2275,"<136,000kg",3.0
40796b,"<136,000kg",3.0
4aca8b,"<136,000kg",3.0
39ceb9,"<136,000kg",3.0
49d387,<7000kg,7.0
3c64af,"<136,000kg",3.0
49d3f0,<7000kg,7.0
40756b,"<136,000kg",3.0
406ac3,"<136,000kg",3.0
4078ae,"<136,000kg",3.0
45d066,"<136,000kg",3.0
3ce686,"<34,000kg",4.0
4d2487,"<136,000kg",3.0
addfed,"<34,000kg",4.0
4851ad,Heavy,0.0
3c6666,"<136,000kg",3.0
4863db,"<136,000kg",3.0
8964bf,Heavy,0.0
e4904c,Heavy,0.0
45cab9,"<136,000kg",3.0
4d20d5,"<136,000kg",3.0
adfd70,"<34,000kg",4.0
3c6489,"<136,000kg",3.0
e80471,Heavy,0.0
44015a,"<136,000kg",3.0
e8046e,Heavy,0.0
ab4840,Heavy,0.0
440051,"<136,000kg",3.0
4d2221,"<136,000kg",3.0
ac2cb2,Heavy,0.0
7815f9,Heavy,0.0
3c4b28,Heavy,0.0
44cdcb,"<136,000kg",3.0
a87223,Heavy,0.0
ad447d,"<136,000kg",3.0
34761a,"<136,000kg",3.0
4d2414,"<136,000kg",3.0
a2007c,Heavy,0.0
484162,"<136,000kg",3.0
b9a956,Space,14.0
8001db,"<34,000kg",4.0
471db5,"<136,000kg",3.0
04021d,Heavy,0.0
448f2e,"<34,000kg",4.0
7bc006,Heavy,0.0
48c235,"<136,000kg",3.0
471f38,"<136,000kg",3.0
3c6654,"<136,000kg",3.0
398566,"<136,000kg",3.0
4ca6a4,"<136,000kg",3.0
4912c8,<7000kg,7.0
3c49c8,"<136,000kg",3.0
345559,"<136,000kg",3.0
007b39,<7000kg,7.0
406673,"<136,000kg",3.0
3cf3a9,"<34,000kg",4.0
4d224e,"<136,000kg",3.0
c06ce4,"<34,000kg",4.0
3c66e5,"<136,000kg",3.0
3c66e4,"<136,000kg",3.0
452122,"<136,000kg",3.0
4952aa,Heavy,0.0
4692cd,"<136,000kg",3.0
49d56e,<7000kg,7.0
aabf87,Heavy,0.0
e8020f,Heavy,0.0
502d0d,"<136,000kg",3.0
440687,"<34,000kg",4.0
4ac9e5,"<136,000kg",3.0
4cadcc,"<136,000kg",3.0
406b5a,"<136,000kg",3.0
45ab4e,"<136,000kg",3.0
48664a,"<136,000kg",3.0
4b39e3,"<34,000kg",4.0
408011,"<136,000kg",3.0
44b430,"<34,000kg",4.0
4d241a,"<136,000kg",3.0
347684,"<136,000kg",3.0
343183,"<34,000kg",4.0
407a05,"<136,000kg",3.0
4bb46d,Heavy,0.0
34760b,Heavy,0.0
4911ec,<7000kg,7.0
3c66ba,"<136,000kg",3.0
407666,"<136,000kg",3.0
0200fb,"<136,000kg",3.0
a6bd28,"<136,000kg",3.0
4bb290,"<136,000kg",3.0
3e4082,<7000kg,7.0
45aa53,"<136,000kg",3.0
4077bb,"<136,000kg",3.0
448525,"<34,000kg",4.0
0d08d1,Heavy,0.0
4006ee,"<136,000kg",3.0
440bb6,<7000kg,7.0
3c6542,"<136,000kg",3.0
4067f3,"<136,000kg",3.0
4ca74e,Heavy,0.0
407f7b,"<136,000kg",3.0
a88ce3,"<136,000kg",3.0
a48fcf,"<136,000kg",3.0
3c654d,"<136,000kg",3.0
600bc7,"<136,000kg",3.0
46b8a9,"<136,000kg",3.0
406442,"<136,000kg",3.0
4b1616,"<136,000kg",3.0
406d27,Heavy,0.0
39d307,"<136,000kg",3.0
4cadbe,"<136,000kg",3.0
0a0026,"<136,000kg",3.0
44cc4f,"<34,000kg",4.0
4855a3,"<34,000kg",4.0
394a01,Heavy,0.0
4cae96,"<136,000kg",3.0
461f49,Heavy,0.0
a865e3,Heavy,0.0
46a9ef,Reserved,10.0
02a0ac,Heavy,0.0
4bb18d,Heavy,0.0
3965b1,Heavy,0.0
407af1,Heavy,0.0
44ccd8,Heavy,0.0
4ca2c3,"<136,000kg",3.0
4078ef,"<136,000kg",3.0
3004b9,"<34,000kg",4.0
4cadb8,"<136,000kg",3.0
3e377e,<7000kg,7.0
3c66b9,"<136,000kg",3.0
4cad3a,"<136,000kg",3.0
407e82,"<136,000kg",3.0
3cf62a,"<34,000kg",4.0
48c12d,"<136,000kg",3.0
471f36,"<136,000kg",3.0
4d221a,"<136,000kg",3.0
47a0bf,"<136,000kg",3.0
49d526,"<34,000kg",4.0
4d22c2,"<136,000kg",3.0
ab6c08,Heavy,0.0
4d2412,"<136,000kg",3.0
a92938,"<34,000kg",4.0
407838,"<136,000kg",3.0
406b59,"<136,000kg",3.0
346403,Ultralight,9.0
4d2290,"<136,000kg",3.0
4ca5c8,"<136,000kg",3.0
4075df,"<136,000kg",3.0
cf02e3,Obstruction,1.0
4077ba,"<136,000kg",3.0
407fff,"<136,000kg",3.0
34208d,"<34,000kg",4.0
39cf0d,Heavy,0.0
555fe3,"<136,000kg",3.0
3c4a05,Heavy,0.0
4d2273,"<136,000kg",3.0
4d2265,"<136,000kg",3.0
4d2406,"<136,000kg",3.0
4d220a,"<136,000kg",3.0
39ceaf,"<136,000kg",3.0
1a6843,Surface service vehicle,15.0
3c1bac,Heavy,0.0
4cacb5,"<136,000kg",3.0
485ecc,Heavy,0.0
3532ca,High vortex,8.0
4075af,"<136,000kg",3.0
345207,"<136,000kg",3.0
394a62,Heavy,0.0
4ca73d,"<136,000kg",3.0
40622d,"<136,000kg",3.0
40751b,"<136,000kg",3.0
494109,"<34,000kg",4.0
4ca2ad,"<136,000kg",3.0
4ca646,"<136,000kg",3.0
4080e2,"<136,000kg",3.0
39b4d7,<7000kg,7.0
5110bd,"<34,000kg",4.0
440608,"<136,000kg",3.0
4d22a8,Heavy,0.0
20a000,Glider,11.0
4cae8f,"<136,000kg",3.0
010556,Surface emergency vehicle,5.0
4076e2,"<136,000kg",3.0
3949f9,Heavy,0.0
e06588,Heavy,0.0
345198,Obstruction,1.0
aa3b85,Heavy,0.0
aa8a83,Heavy,0.0
4d2255,"<136,000kg",3.0
0100a7,Heavy,0.0
44a833,"<136,000kg",3.0
aa44ac,Heavy,0.0
400a7d,"<136,000kg",3.0
3c48ea,"<136,000kg",3.0
a6dc3d,"<136,000kg",3.0
aa9bbf,Heavy,0.0
3c6427,"<136,000kg",3.0
4008ae,"<136,000kg",3.0
4b17e0,"<136,000kg",3.0
3991e8,"<136,000kg",3.0
c058d5,Heavy,0.0
4ca893,"<136,000kg",3.0
39ceab,"<136,000kg",3.0
3c0699,"<34,000kg",4.0
4cae49,"<136,000kg",3.0
3c4b4c,"<136,000kg",3.0
4d21eb,"<136,000kg",3.0
4d228f,"<136,000kg",3.0
06a1d0,"<136,000kg",3.0
34660f,"<136,000kg",3.0
4072a5,"<136,000kg",3.0
4b1a2d,"<136,000kg",3.0
4ca816,"<136,000kg",3.0
3c5ee9,"<136,000kg",3.0
4791dd,"<136,000kg",3.0
4d234c,"<136,000kg",3.0
39d312,"<136,000kg",3.0
aad213,Heavy,0.0
406f86,"<136,000kg",3.0
3455cd,,2.0
407c6d,"<136,000kg",3.0
4064bb,"<136,000kg",3.0
484fdf,"<136,000kg",3.0
407e4e,"<136,000kg",3.0
3e3d01,<7000kg,7.0
407568,"<136,000kg",3.0
440248,"<136,000kg",3.0
3965a4,Heavy,0.0
3c6422,"<136,000kg",3.0
4bb073,"<136,000kg",3.0
c0583f,Heavy,0.0
4075bb,"<136,000kg",3.0
a86e6c,Heavy,0.0
4ca852,"<136,000kg",3.0
4ac9e6,"<136,000kg",3.0
4d234f,"<136,000kg",3.0
484371,Heavy,0.0
34440a,"<136,000kg",3.0
3965b3,Heavy,0.0
4ba9cd,Heavy,0.0
471f31,"<136,000kg",3.0
48c233,"<136,000kg",3.0
4bb275,"<136,000kg",3.0
4851f5,Heavy,0.0
ac291f,Heavy,0.0
4aca0c,"<136,000kg",3.0
4b1800,"<136,000kg",3.0
40796c,"<136,000kg",3.0
407e7d,"<136,000kg",3.0
4b1a34,"<136,000kg",3.0
4cae8c,"<136,000kg",3.0
406a3d,"<136,000kg",3.0
48c1a4,"<136,000kg",3.0
4006eb,"<136,000kg",3.0
491d8b,"<136,000kg",3.0
4d2257,"<136,000kg",3.0
3c56f5,"<136,000kg",3.0
400980,"<136,000kg",3.0
495211,"<136,000kg",3.0
4d2366,"<34,000kg",4.0
06a1dc,"<136,000kg",3.0
4d21ef,"<136,000kg",3.0
4d2302,"<136,000kg",3.0
4792d3,"<136,000kg",3.0
4841a5,"<136,000kg",3.0
398564,"<136,000kg",3.0
600bbe,Heavy,0.0
4acb45,"<136,000kg",3.0
040188,Heavy,0.0
407e46,"<136,000kg",3.0
40766d,"<136,000kg",3.0
440713,"<136,000kg",3.0
4cad42,"<136,000kg",3.0
4951f0,Heavy,0.0
4d2013,"<136,000kg",3.0
471f78,"<136,000kg",3.0
4ac9eb,"<136,000kg",3.0
4ca27c,"<136,000kg",3.0
440209,"<136,000kg",3.0
020122,Heavy,0.0
4acab2,"<136,000kg",3.0
4ca84b,"<136,000kg",3.0
4ca8d9,"<136,000kg",3.0
440047,"<136,000kg",3.0
4ca8bd,"<136,000kg",3.0
4d252b,"<136,000kg",3.0
4aca0d,"<136,000kg",3.0
478772,"<136,000kg",3.0
4d248d,"<136,000kg",3.0
4acaaf,"<136,000kg",3.0
406532,"<136,000kg",3.0
4bc8c8,"<136,000kg",3.0
4d23fb,"<136,000kg",3.0
407d4c,"<136,000kg",3.0
407f8d,"<136,000kg",3.0
40796a,"<136,000kg",3.0
4cae69,"<136,000kg",3.0
490d05,"<34,000kg",4.0
44cdc9,"<136,000kg",3.0
406b90,"<136,000kg",3.0
4baa8d,"<136,000kg",3.0
010236,"<136,000kg",3.0
a2aad4,"<136,000kg",3.0
3c64ab,"<136,000kg",3.0
48af08,"<136,000kg",3.0
06a1eb,Heavy,0.0
4aca04,"<136,000kg",3.0
49d3d5,"<136,000kg",3.0
4b1a01,"<34,000kg",4.0
4ca8d4,"<136,000kg",3.0
06a140,Heavy,0.0
30086a,"<136,000kg",3.0
